iter	Passed	Remaining
0	208	208472
1	224	112156
2	238	79379
3	249	62210
4	260	51895
5	271	44902
6	281	39981
7	293	36399
8	305	33626
9	316	31306
10	324	29208
11	332	27355
12	338	25724
13	346	24374
14	352	23158
15	359	22121
16	365	21160
17	372	20335
18	379	19599
19	386	18919
20	397	18528
21	406	18051
22	413	17562
23	419	17078
24	427	16659
25	434	16263
26	442	15931
27	448	15584
28	455	15256
29	462	14940
30	468	14640
31	475	14383
32	482	14138
33	489	13904
34	495	13674
35	502	13452
36	509	13259
37	515	13060
38	522	12879
39	529	12707
40	535	12533
41	545	12450
42	557	12415
43	570	12396
44	582	12354
45	592	12282
46	602	12223
47	610	12112
48	618	11998
49	624	11869
50	633	11794
51	644	11751
52	651	11645
53	658	11528
54	664	11410
55	671	11313
56	677	11207
57	683	11107
58	690	11013
59	696	10914
60	703	10831
61	709	10740
62	715	10646
63	723	10577
64	729	10495
65	736	10424
66	742	10343
67	749	10267
68	755	10194
69	761	10118
70	768	10055
71	774	9986
72	780	9917
73	787	9855
74	793	9790
75	800	9737
76	806	9672
77	813	9614
78	819	9557
79	825	9497
80	834	9463
81	840	9411
82	846	9355
83	853	9307
84	859	9254
85	866	9210
86	872	9157
87	882	9146
88	892	9132
89	899	9093
90	905	9045
91	912	9001
92	918	8959
93	924	8915
94	931	8877
95	938	8836
96	944	8792
97	951	8756
98	957	8714
99	963	8675
100	970	8641
101	976	8600
102	984	8573
103	990	8536
104	998	8508
105	1004	8471
106	1010	8436
107	1017	8400
108	1023	8363
109	1030	8337
110	1036	8302
111	1042	8268
112	1049	8240
113	1055	8206
114	1062	8177
115	1068	8145
116	1074	8111
117	1081	8083
118	1087	8052
119	1094	8025
120	1100	7994
121	1106	7966
122	1113	7938
123	1120	7912
124	1126	7887
125	1133	7861
126	1144	7869
127	1152	7850
128	1158	7823
129	1165	7803
130	1172	7775
131	1179	7754
132	1185	7727
133	1191	7701
134	1198	7677
135	1204	7652
136	1211	7632
137	1217	7606
138	1224	7582
139	1232	7568
140	1238	7544
141	1246	7531
142	1252	7508
143	1259	7487
144	1265	7462
145	1272	7444
146	1279	7424
147	1285	7402
148	1292	7384
149	1299	7363
150	1305	7342
151	1312	7323
152	1319	7303
153	1326	7284
154	1332	7265
155	1339	7247
156	1345	7226
157	1352	7206
158	1359	7189
159	1365	7171
160	1372	7152
161	1379	7135
162	1386	7117
163	1394	7109
164	1407	7120
165	1413	7101
166	1419	7082
167	1426	7065
168	1433	7047
169	1441	7035
